#ALMAQUEST spaxel data for green valley galaxies
#data has been converted from Salpeter to a Chabrier IMF
#Sigma_H2 and Sigma_SM have units of Msun/pc^2, while Sigma_SFR has units of Msun/yr/kpc^2
#Sigma_H2 Sigma_SM Sigma_SFR R_eff O/H+12
8.253999710083008 46.68000030517578 0.005293395835906267 1.899999976158142 8.739999771118164
8.010000228881836 69.44999694824219 0.006458111573010683 1.840000033378601 8.729999542236328
8.534000396728516 71.3499984741211 0.005601406097412109 1.7999999523162842 8.739999771118164
9.968999862670898 72.9000015258789 0.004995484836399555 1.7699999809265137 8.739999771118164
11.229999542236328 72.9000015258789 0.005550912581384182 1.75 8.720000267028809
11.149999618530273 100.1500015258789 0.007626192644238472 1.7599999904632568 8.720000267028809
9.760000228881836 74.0 0.007398972287774086 1.7799999713897705 8.75
8.102999687194824 46.915000915527344 0.007685101591050625 1.809999942779541 8.779999732971191
7.001999855041504 55.849998474121094 0.007250858936458826 1.8600000143051147 8.75
6.348999977111816 52.0 0.009191489778459072 1.9199999570846558 8.75
