subhalo_id,soap_row_index,total_formed_mass,stellar_mass_current,t_start,t50,t50_span,t75,t75_span,t90,t90_span,t95,t95_span,t998,t998_span,tfin,tfin_span,f_Mz2,term1,term2,term3,DoR,elem_0_mass,elem_1_mass,elem_2_mass,elem_3_mass,elem_4_mass,elem_5_mass,elem_6_mass,elem_7_mass,elem_8_mass,elem_9_mass,elem_10_mass,elem_11_mass
390846,89844942,0.0,0.0,13.797615896896387,,,,,,,,,,,,,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
389909,89867026,0.0,0.0,13.797615896896387,,,,,,,,,,,,,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346521,89917565,11.53229022026062,11.53229022026062,0.2923573916404173,4.027357391640417,3.735,4.617357391640417,4.325,5.767357391640417,5.475,8.067357391640417,7.775,13.437357391640418,13.145000000000001,13.437357391640418,13.145000000000001,0.32949311008940657,0.32949311008940657,0.11560693641618497,0.09803258091860928,0.18104420914140026,8.380468692397699,2.979316182085313,0.021616545290799143,0.008364802064122705,0.08523721739989946,0.02279110573889989,0.00958961154322999,0.009832887292310985,0.01336880248404696,5.10806548269643e-07,1.527976570002253e-07,5.676216804269505e-09
845912,89999664,11.233476161956787,11.233476161956787,0.2691976370390229,3.724197637039023,3.455,4.664197637039022,4.395,6.344197637039023,6.075,7.454197637039023,7.1850000000000005,12.504197637039024,12.235000000000001,12.504197637039024,12.235000000000001,0.3350691753868391,0.3350691753868391,0.11376564277588169,0.16398600408968728,0.20427360741746936,8.176523399306461,2.895263289276045,0.02018723230153386,0.007780844648001752,0.08014856490541293,0.021478250121460464,0.008981486272365178,0.009209400946547847,0.012363451713856867,4.629958138619903e-07,1.3761685403609253e-07,5.279360381756463e-09
158412,90006208,5.309471368789673,5.309471368789673,0.23030287587512735,4.815302875875127,4.585,5.955302875875127,5.725,7.0453028758751275,6.815,8.255302875875127,8.025,11.735302875875128,11.505,11.735302875875128,11.505,0.2855889190691302,0.2855889190691302,0.08733624454148473,0.21689369520494767,0.1966062862718542,3.7581160296685994,1.422564942331519,0.015099445408209297,0.007382094557488112,0.06232518382262192,0.01623700726661688,0.007454893511906813,0.007585588247268118,0.011125874484258436,3.583872350617678e-07,9.910797068194239e-08,4.1048073164225246e-09
349264,90006231,5.660403728485107,5.660403728485107,0.38603096597934994,5.95103096597935,5.565,6.60103096597935,6.215,7.00103096597935,6.615,7.15103096597935,6.765000000000001,7.55103096597935,7.165,7.55103096597935,7.165,0.10114595340285393,0.10114595340285393,0.08045052292839903,0.5314407903285504,0.23767908888660114,4.113261685241014,1.4621040371712297,0.010840372667474575,0.004007585693221699,0.043012289189057994,0.011481343103511822,0.004836377756034174,0.004740823734856148,0.005460351035960869,2.242018544781868e-07,7.155377859760477e-08,2.506314693717264e-09
2802724,90006501,14.982303142547607,14.982303142547607,0.288807574698104,2.593807574698104,2.305,3.3338075746981044,3.0450000000000004,3.693807574698104,3.405,3.933807574698104,3.645,8.263807574698104,7.9750000000000005,8.263807574698104,7.9750000000000005,0.7300217882355622,0.7300217882355622,0.16420361247947454,0.472734996077371,0.4556534655974693,10.974046825896949,3.8248378065181896,0.02227583419933611,0.008172262238946966,0.09530413180066498,0.025307128648874223,0.010549022569799985,0.010051650812087948,0.010727899818088598,3.87457183307086e-07,1.3060158075038046e-07,5.068033639958097e-09
2841805,90006545,9.593640089035034,9.593640089035034,0.3141128812024531,4.009112881202453,3.6950000000000003,4.839112881202453,4.525,5.2491128812024535,4.9350000000000005,6.379112881202453,6.065,8.029112881202455,7.715000000000002,8.029112881202455,7.715000000000002,0.2915034187410346,0.2915034187410346,0.11049723756906077,0.4915788312691075,0.29785982919306764,6.992918214295059,2.4675956020946614,0.01690013050447819,0.006259438834528414,0.06682747233406415,0.017899075580414245,0.007443522225214569,0.007426454395976348,0.009195512318178802,3.759167722581532e-07,1.2169796440753636e-07,4.080031338474452e-09
4110512,90078592,0.0,0.0,13.797615896896387,,,,,,,,,,,,,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2856684,90228294,0.0,0.0,13.797615896896387,,,,,,,,,,,,,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
