track_id,HaloCatalogueIndex,DoR
55787,55787,0.6191937396743034
4676,4676,0.6590198462223396
319263,319263,0.7263375845430561
405,405,0.6903844705050813
38264,38264,0.6240760107068086
2281031,2281031,0.658747911592048
307424,307424,0.7067396675858966
663395,663395,0.6710707140076483
143084,143084,0.6410511278191807
1423833,1423833,0.6698063463058056
627956,627956,0.6805502654276822
1262725,1262725,0.6505207030445971
1264037,1264037,0.6451797017501685
49780,49780,0.6319006491999953
155425,155425,0.6117069106060525
45950,45950,0.6151807209059917
52429,52429,0.6169129369290133
154264,154264,0.6663097120972806
1293101,1293101,0.6984107780673224
144050,144050,0.6122733155006972
50829,50829,0.6986479913505268
339605,339605,0.6246985665295753
46250,46250,0.7137258656902371
297402,297402,0.6129226881775187
316144,316144,0.6214114278046751
53398,53398,0.6135585099956606
4914,4914,0.603250041329766
139198,139198,0.6171329942736591
45660,45660,0.7019198732441669
1370726,1370726,0.6299987347079491
5359757,5359757,0.6435201695617346
1404994,1404994,0.6032449223369113
340024,340024,0.6532958707570389
153297,153297,0.6759685572376042
756488,756488,0.6093760444754209
7139,7139,0.6351547256914025
710029,710029,0.6409975243643615
312471,312471,0.6396887980419201
61324,61324,0.6857308731377393
729799,729799,0.6075354512707395
1461168,1461168,0.6945604186490201
784221,784221,0.6924446016169572
72514,72514,0.7358321961981545
493,493,0.6155267517220521
385504,385504,0.6768635965721616
1572882,1572882,0.6322436242658837
3055207,3055207,0.6136808702168888
7317,7317,0.6192068633432238
735322,735322,0.6212170663676969
378098,378098,0.670042916486978
70751,70751,0.6071907853023358
813650,813650,0.6314186999791817
383198,383198,0.6782191570767805
75729,75729,0.6087235204754728
1634879,1634879,0.6150355742763886
6354,6354,0.6592064537916286
6474,6474,0.7317893798447779
65193,65193,0.6515945956376892
748385,748385,0.6827276342244004
386766,386766,0.6696043343421879
160741,160741,0.6064768012123853
162923,162923,0.6786396658303682
481,481,0.6486001002007352
66394,66394,0.6451765239791749
4153000,4153000,0.6582156716889987
4285578,4285578,0.6509201777154335
6453,6453,0.6856859741322712
767647,767647,0.6636620526642281
7274,7274,0.6222500583236344
