track_id,HaloCatalogueIndex,DoR
37835,37835,0.6607338881507444
3859,3859,0.6047750707089494
133204,133204,0.6104780507118654
48958,48958,0.6722382549742901
145106,145106,0.6462121186005444
3586,3586,0.65087904992931
150956,150956,0.6112348731793519
328522,328522,0.6718535456827563
140928,140928,0.6420956686438234
38324,38324,0.6930907738966435
1382810,1382810,0.6914281742535744
1419622,1419622,0.6748904435518694
152636,152636,0.6437833297143299
51234,51234,0.6040470808596735
591516,591516,0.6236500712661729
702000,702000,0.6161241624593478
1443766,1443766,0.6183732603441066
59531,59531,0.7344147424352562
53300,53300,0.6259020252382109
1295671,1295671,0.6321841526992807
50269,50269,0.7151884979919824
319646,319646,0.6831502780138443
5046,5046,0.6647422966254792
54269,54269,0.6296119988355976
156087,156087,0.6091140452882459
141036,141036,0.6006012868655463
3913617,3913617,0.6349442877756575
708413,708413,0.6669746959515012
154378,154378,0.6000143242723192
1277093,1277093,0.6865494011773712
3786109,3786109,0.6990965993191339
1277858,1277858,0.6686289053207274
1265641,1265641,0.6333589901836453
139676,139676,0.6177370286401197
5119,5119,0.6427715549490975
49412,49412,0.7398155574074718
49562,49562,0.6331006356274026
51474,51474,0.6135802877116582
2604197,2604197,0.6674939213376935
690249,690249,0.6034784938415919
1406104,1406104,0.6661149855419845
1411684,1411684,0.6485807540199461
2687587,2687587,0.6543468626512038
717639,717639,0.6098542589930279
154382,154382,0.6590025718223093
52285,52285,0.6558991111128528
325018,325018,0.6499127719203154
682377,682377,0.7124545366045215
53810,53810,0.646345198594246
146543,146543,0.6374250543638406
429,429,0.679367329402015
134041,134041,0.6539438614173496
682784,682784,0.691543936038801
684934,684934,0.6681414031623797
1373485,1373485,0.6510122956417426
5612,5612,0.6969484753478227
56230,56230,0.6390757830224267
2677265,2677265,0.6818709786351004
2679391,2679391,0.6949853270504308
1442638,1442638,0.6268365252058251
302055,302055,0.6525797723623922
69297,69297,0.605413483466434
808565,808565,0.6140029010090511
297376,297376,0.6866315743227543
6818,6818,0.6470608066618607
801128,801128,0.6113815652993632
1451575,1451575,0.6649807873984348
65590,65590,0.6033561670766467
759540,759540,0.636711124282444
1542414,1542414,0.632163275205445
4206505,4206505,0.6274229961541008
1568419,1568419,0.6116856779612636
171276,171276,0.602874772643495
171673,171673,0.734682944021175
789267,789267,0.7090781361721415
789289,789289,0.64428074205663
75753,75753,0.6016829810267675
6334,6334,0.7161295565286975
769618,769618,0.6520426553405002
378100,378100,0.6586082152445699
73351,73351,0.6182077740095974
376593,376593,0.6373428868167499
1533565,1533565,0.6916868491770868
813496,813496,0.6301922653218894
4107179,4107179,0.6215625423296004
774849,774849,0.6719565437540477
72262,72262,0.6794855734606449
64391,64391,0.6151488291360955
61127,61127,0.6699223508183056
750387,750387,0.6231832383440952
359382,359382,0.6580374234559165
1506631,1506631,0.6094104634168761
168374,168374,0.6483397759946641
6399,6399,0.6527093123761406
66449,66449,0.6597457439161772
761509,761509,0.680198273787178
5807583,5807583,0.603265189731833
794862,794862,0.6183361170396101
10223610,10223610,0.6176055146725293
75687,75687,0.664511922614747
6301,6301,0.6267726950901156
372258,372258,0.6469758089981922
75441,75441,0.6283978052976779
176704,176704,0.6385286141720474
73661,73661,0.6716468067631327
64105,64105,0.7043249407385668
361487,361487,0.6423251547812795
735584,735584,0.6998065777049812
5647818,5647818,0.659300943594705
805018,805018,0.6186872361765806
