subhalo_id,soap_row_index,total_formed_mass,stellar_mass_current,t_start,t50,t50_span,t75,t75_span,t90,t90_span,t95,t95_span,t998,t998_span,tfin,tfin_span,f_Mz2,term1,term2,term3,DoR,elem_H_mass,elem_He_mass,elem_C_mass,elem_N_mass,elem_O_mass,elem_Ne_mass,elem_Mg_mass,elem_Si_mass,elem_Fe_mass,elem_Sr_mass,elem_Ba_mass,elem_Eu_mass
4319750,2359436,11.68893647055,7.03701471945625,0.3581076906461184,5.543107690646119,5.1850000000000005,6.483107690646119,6.125,9.03310769064612,8.675,10.03310769064612,9.675,11.983107690646118,11.625,11.983107690646118,11.625,0.1416843099432188,0.1416843099432188,0.0816326530612244,0.2063869119895288,0.1432346249979907,5.0788634624,1.8354112512,0.0156561232,0.0060861728,0.0598083136,0.0161498208,0.0068239704,0.0070885104,0.0098353856,4.001211669921875e-07,1.0902913818359374e-07,4.020291900634765e-09
4460513,13347162,15.0535228275625,8.9819145593,0.2569762843689762,2.9519762843689765,2.6950000000000003,4.471976284368976,4.215,6.111976284368977,5.855,7.661976284368976,7.405,13.381976284368978,13.125000000000002,13.381976284368978,13.125000000000002,0.6273437970045348,0.6273437970045348,0.1186239620403321,0.0974240166105167,0.2811305918851279,6.5769230336,2.295078912,0.0135441616,0.0050828056,0.0549150464,0.0145965888,0.0060764608,0.0062370148,0.00842836,3.146026611328125e-07,9.868565673828125e-08,3.6504787445068362e-09
4472321,22019701,17.5669407859125,10.5833413771875,0.2722832099007792,4.37728320990078,4.105,5.79728320990078,5.525,10.017283209900778,9.745,11.39728320990078,11.125000000000002,12.41728320990078,12.145,12.41728320990078,12.145,0.1881170189746469,0.1881170189746469,0.090497737556561,0.1686131082581379,0.1490759549297819,7.7048971264,2.727422976,0.0192920608,0.0072544824,0.0751267392,0.0201384848,0.0084417976,0.0085139384,0.0108469848,4.473060546875e-07,1.3698602294921874e-07,4.770084762573242e-09
4588399,12142873,12.162439584625,7.263151615625,0.277309237588053,3.722309237588053,3.4450000000000003,4.372309237588053,4.095,4.582309237588053,4.305,7.272309237588053,6.995,13.482309237588057,13.205000000000002,13.482309237588057,13.205000000000002,0.3947909403323911,0.3947909403323911,0.1221001221001221,0.0916126621903027,0.2028345748742719,5.3167398912,1.855924224,0.0110693888,0.004056924,0.04670616,0.0123830176,0.0051892724,0.0049934936,0.0055214628,1.9919752197265626e-07,6.830086669921875e-08,2.576705551147461e-09
4715933,10786439,6.9018113606625,4.1164592842875,0.2488922105676358,2.463892210567636,2.215,4.083892210567636,3.835,7.563892210567636,7.315,8.603892210567636,8.355,13.133892210567636,12.885000000000002,13.133892210567636,12.885000000000002,0.6656714671453282,0.6656714671453282,0.1303780964797914,0.1148580798711586,0.303635881165426,3.0088087552,1.0543789056,0.0066228984,0.0024948646,0.0264428304,0.007136644,0.0029487606,0.0030406928,0.0040907124,1.5717236328125e-07,4.506459045410157e-08,1.7230819702148435e-09
5137960,35320478,14.06725215765,8.42707122026875,0.3113101187875617,5.026310118787562,4.715,5.856310118787562,5.545,7.226310118787562,6.915,8.186310118787562,7.875,11.366310118787563,11.055,11.366310118787563,11.055,0.1878136952985679,0.1878136952985679,0.0901713255184851,0.2477928122335533,0.1752592776835354,6.1256126464,2.1763289088,0.0159727408,0.0060430924,0.061979008,0.01663328,0.0069703024,0.0070882104,0.0092494688,3.8223984375e-07,1.1473822021484377e-07,3.970186614990234e-09
5344117,70153454,33.527558326075,20.03710530471875,0.2714402572957652,3.726440257295765,3.455,5.1364402572957655,4.865,7.386440257295765,7.115,8.456440257295764,8.184999999999999,12.926440257295766,12.655,12.926440257295766,12.655,0.4209768034937853,0.4209768034937853,0.1027749229188078,0.1315657238292738,0.2184391500806223,14.6454413312,5.1315802112,0.0325436512,0.0117727208,0.1320935808,0.0352786976,0.0147152,0.0144956848,0.0171673424,6.9665673828125e-07,2.216045166015625e-07,7.721244812011718e-09
5359964,67716381,11.1590614334125,6.67122358559375,0.2569762843689762,2.4519762843689765,2.1950000000000003,2.9219762843689763,2.665,5.8719762843689765,5.615,10.311976284368978,10.055,13.651976284368978,13.395,13.651976284368978,13.395,0.8279394997447072,0.8279394997447072,0.1876172607879924,0.0778106954422945,0.3644558186583314,4.9082187776,1.6925449216,0.0085366728,0.0031122358,0.0367426976,0.0097269088,0.0040732396,0.0038711448,0.0040327604,1.41900927734375e-07,4.882745056152344e-08,1.949384880065918e-09
5546367,84186436,10.2228066897375,6.2089133056375,0.3160945209074661,4.8010945209074665,4.485,7.151094520907466,6.835,11.171094520907468,10.855,12.321094520907463,12.005,13.181094520907466,12.865,13.181094520907466,12.865,0.1554460691744533,0.1554460691744533,0.0731528895391367,0.1163109184762122,0.1149699590632674,4.5323014144,1.5939278848,0.0105024128,0.0039148132,0.0411551456,0.0110242664,0.0045931,0.0046822676,0.0060578556,2.326737060546875e-07,7.326350708007812e-08,2.681254005432129e-09
5590835,88984133,14.143419740775,8.4259255611,0.2885140651547822,4.233514065154783,3.945,4.873514065154782,4.585,5.283514065154782,4.995,5.613514065154782,5.325,7.703514065154782,7.415,7.703514065154782,7.415,0.275662984778168,0.275662984778168,0.109051254089422,0.5122094383532894,0.2989745590736264,6.1153980416,2.180489216,0.0166635728,0.0061977308,0.0652545024,0.0176029056,0.0073413096,0.0072451216,0.0086445472,3.72613037109375e-07,1.1339755859375e-07,3.898275756835938e-09
