track_id,HaloCatalogueIndex,corrected_bh_mass,first_snapshot_with_bh
351888,351888,1004133568.0,GalaxyProperties_SFR_GE_0_z0.0.txt
352472,352472,2707073.25,GalaxyProperties_SFR_GE_0_z0.0.txt
738670,738670,124601624.0,GalaxyProperties_SFR_GE_0_z0.0.txt
738839,738839,1391664.5,GalaxyProperties_SFR_GE_0_z0.0.txt
1475297,1475297,20207730.0,GalaxyProperties_SFR_GE_0_z0.0.txt
1477501,1477501,1178387.125,GalaxyProperties_SFR_GE_0_z0.0.txt
2813433,2813433,36377.78515625,GalaxyProperties_SFR_GE_0_z0.0.txt
2813849,2813849,365788.5,GalaxyProperties_SFR_GE_0_z0.0.txt
2814586,2814586,22190376.0,GalaxyProperties_SFR_GE_0_z0.0.txt
2816091,2816091,1310642.875,GalaxyProperties_SFR_GE_0_z0.0.txt
9777059,9777059,65383.20703125,GalaxyProperties_SFR_GE_0_z0.0.txt
20837565,20837565,272256.28125,GalaxyProperties_SFR_GE_0_z0.0.txt
353514,353514,37899028.0,GalaxyProperties_SFR_GE_0_z0.0.txt
2789460,2789460,1127152.875,GalaxyProperties_SFR_GE_0_z0.0.txt
63800,63800,655321.4375,GalaxyProperties_SFR_GE_0_z0.0.txt
5587423,5587423,477193.15625,GalaxyProperties_SFR_GE_0_z0.0.txt
5587850,5587850,394980.09375,GalaxyProperties_SFR_GE_0_z0.0.txt
12804918,12804918,840002.9375,GalaxyProperties_SFR_GE_0_z0.0.txt
20941176,20941176,609448.9375,GalaxyProperties_SFR_GE_0_z0.0.txt
2845887,2845887,642215.0,GalaxyProperties_SFR_GE_0_z0.0.txt
746651,746651,220426.296875,GalaxyProperties_SFR_GE_0_z0.0.txt
4081603,4081603,4270313.0,GalaxyProperties_SFR_GE_0_z0.0.txt
5549962,5549962,558214.75,GalaxyProperties_SFR_GE_0_z0.0.txt
751576,751576,19902708.0,GalaxyProperties_SFR_GE_0_z0.0.txt
20837407,20837407,683917.3125,GalaxyProperties_SFR_GE_0_z0.0.txt
159901,159901,1351153.625,GalaxyProperties_SFR_GE_0_z0.0.txt
