population,subhalo_id,track_id,is_central,DoR,stellar_mass_msun,r50_kpc,dcont_0p3cMpc,dcont_1cMpc,dcont_3cMpc,dev_0p3cMpc,dev_1cMpc,dev_3cMpc
satellite,798108,798108,False,0.638630359266431,14231122944.0,1.7147064208984375,34754.4000557378,1886.8396035307662,94.28523109143508,5.2168549682565715,2.620589310112289,1.132601986897475
satellite,1930598,1930598,False,0.7659649151582323,1405542912.0,0.4596710205078125,37434.923897403474,1986.4355422996168,92.91125132254886,5.651834989186307,2.782792636022402,1.1089874419089
satellite,1977002,1977002,False,0.6153248005596197,13899257856.0,1.7452239990234375,38636.347728400484,1967.1859850822684,92.91125132254886,5.846795151461089,2.751442540410597,1.1089874419089
satellite,3028815,3028815,False,0.6531510103884934,42712887296.0,1.5926361083984375,40107.169185456456,1882.1316987027506,94.32964203655828,6.085471613960507,2.612921951075243,1.1333652763471056
satellite,97114,97114,False,0.6621051872474024,36856459264.0,2.353668212890625,31874.328881858593,1852.7771392284862,94.6880340506253,4.749493551797527,2.5651147087698867,1.1395249480769103
satellite,1041141,1041141,False,0.6288302619508289,42088202240.0,4.34112548828125,24384.14413135456,1181.3407519420698,58.073195590277614,3.534029369424402,1.4716041048115103,0.5102269266277343
satellite,9659,9659,False,0.6204142004366383,13411222528.0,1.491546630859375,21328.15360273617,761.4501062978245,36.373189061587865,3.038120769979347,0.787764381184723,0.13726962985508084
satellite,87007,87007,False,0.6390490587279235,100262068224.0,9.5977783203125,3647.596306843472,209.16884569326842,36.72925299368134,0.16902143085993793,-0.11168853241044611,0.14338928891676145
satellite,16955,16955,False,0.6093009881349091,36466032640.0,2.933502197265625,8455.749260279606,742.0177690042989,30.064679021088875,0.9492608899573799,0.7561166074082005,0.028845475776740598
satellite,23249,23249,False,0.6910466717245218,22644858880.0,2.84576416015625,58895.84617175837,4504.047154591802,255.73669144452901,9.13439025505163,6.883009792582133,3.907462913030243
satellite,23328,23328,False,0.6325683073057371,14797244416.0,1.59454345703125,60632.2709735902,4500.403302068396,258.82933148701875,9.416167303590907,6.877075363872203,3.9606160154780645
satellite,100221,100221,False,0.7144579189526166,14562987008.0,1.3484954833984375,57491.25311193977,4486.642808330239,258.7500816664709,8.906460956658222,6.854664833100716,3.959253951425127
satellite,229037,229037,False,0.627827642640436,39277117440.0,2.567291259765625,2293.8816233034017,1358.5030320650933,254.54048492671131,-0.05065161670872215,1.7601330490334905,3.8869037510467073
satellite,229539,229539,False,0.6364485035977898,25924458496.0,2.140045166015625,2456.348016302958,3829.4290537233214,249.58262824789674,-0.02428750312433719,5.784317405797232,3.801693231765422
satellite,230061,230061,False,0.6299293725877742,20653672448.0,4.4403076171875,7348.709356823811,3276.472582546187,252.55643679709178,0.7696168096137308,4.883764834907641,3.8528039812557893
satellite,492195,492195,False,0.6102281962673806,6080925696.0,1.373291015625,62399.91282209052,4362.729680338341,259.0199967270097,9.703010075255703,6.65285819587569,3.9638929726716725
satellite,3070295,3070295,False,0.6288626943285041,2266926080.0,1.0280609130859375,62546.33928903055,4002.8822918861338,254.78793568436203,9.726771321719626,6.066805752889215,3.89115667906015
satellite,4675449,4675449,False,0.6354062622942463,2757402112.0,0.9298324584960938,8080.929695508676,4058.691459949658,254.98597415195715,0.8884373227147838,6.157697337306022,3.8945603596735
satellite,4679778,4679778,False,0.6001942545673514,18311100416.0,1.79290771484375,1648.5862694435239,2845.8645914457484,255.30806124961126,-0.15536644228304364,4.182470693968149,3.900096060001867
satellite,2226,2226,False,0.664697544972055,49194004480.0,1.575469970703125,1935.8345776188455,125.40329130765214,237.23358329483017,-0.10875343584006021,-0.24811027496347532,3.589450603297523
satellite,11518,11518,False,0.6773868908797168,64733061120.0,6.85882568359375,2558.708800527377,160.41687868407243,56.70180229039203,-0.00767698268343175,-0.19108666140348182,0.48665683519659875
satellite,435755,435755,False,0.653036736824823,10248751104.0,1.1444091796875,31185.48630206572,1643.2579438830787,77.80700453123676,4.637712132390563,2.2238888440696214,0.8493912502843932
satellite,436157,436157,False,0.632480981104096,26783401984.0,2.7923583984375,30529.497833042136,1651.5840916067757,77.97671469935861,4.531262089473492,2.2374489236220314,0.8523080533486631
satellite,1782066,1782066,False,0.7404743771822154,18447751168.0,1.79290771484375,27838.798346880303,1626.9502454689286,77.80700453123676,4.094630823370289,2.1973299004679823,0.8493912502843932
