matched_index,host_halo_index,track_id,DoR,is_central_flag,gal_stellar_mass,gal_r50_kpc,host_mass,host_radius_kpc,gal_center_x,gal_center_y,gal_center_z,host_center_x,host_center_y,host_center_z,dist_to_host_kpc,dist_over_hostR,dist_over_galR50,bh_mass,v_gal_x,v_gal_y,v_gal_z,v_host_x,v_host_y,v_host_z,v_rel,sigma_host,v_rel_over_sigma
53635,35828148,1125165,0.6180330776660589,False,43493744640.0,3.18145751953125,33583106359296.0,1324.21875,73245.6328125,43065.88671875,167430.140625,73199.90625,43140.8125,167639.65625,227.15982992846662,0.1715425264356562,71.40118280188004,0.0,-384.59954833984375,-228.19952392578125,88.8004150390625,-411.09954833984375,-490.59954833984375,-77.8995361328125,312.00143674862477,152.05438232421875,2.051906903172038
53901,36032496,561091,0.6546967874871191,False,44430774272.0,2.18963623046875,116261518311424.0,2546.875,74899.2265625,76621.6953125,82450.84375,75534.3984375,76063.5,82518.9453125,848.3296178390389,0.33308647571594163,387.4294761999948,0.0,276.106689453125,-581.893310546875,700.7066650390625,588.90673828125,-266.19329833984375,29.7066650390625,804.8300244488877,173.9776611328125,4.626053823280737
55563,37372039,32775,0.6162988703853376,False,13255051264.0,6.9732666015625,278579866763264.0,2445.3125,78012.7265625,68635.828125,72852.5859375,77947.6484375,68707.015625,72903.2421875,108.94438110259806,0.044552334764001764,15.62314870883997,0.0,326.61328125,-299.7867431640625,-683.686767578125,226.61328125,32.51318359375,155.813232421875,908.3961092624999,341.5555114746094,2.65958556880154
55569,37372039,114191,0.7236870894049207,False,8306368512.0,1.8291473388671875,278579866763264.0,2445.3125,77690.140625,68690.890625,72774.765625,77947.6484375,68707.015625,72903.2421875,288.22997109140397,0.1178704035134176,157.57613668776852,0.0,909.01318359375,-82.186767578125,501.11328125,226.61328125,32.51318359375,155.813232421875,773.3419872464546,341.5555114746094,2.2641765723752445
55572,37372039,258026,0.6757229738568599,False,29282144256.0,2.338409423828125,278579866763264.0,2445.3125,78106.5234375,68489.953125,72921.9921875,77947.6484375,68707.015625,72903.2421875,269.6459846377283,0.11027056240776109,115.311707988373,0.0,-254.9866943359375,-576.186767578125,552.61328125,226.61328125,32.51318359375,155.813232421875,871.724982887964,341.5555114746094,2.5522205135101923
55817,37492891,35091,0.6243112071871334,False,4206868224.0,1.0776519775390625,46296710774784.0,1785.15625,75001.2109375,79068.1796875,84629.6171875,74995.75,79123.3515625,84687.25,79.97061151482266,0.044797541680075714,74.20819817678468,0.0,215.867431640625,-554.2325439453125,-384.33258056640625,69.867431640625,-378.7325439453125,-231.33251953125,274.81861049929194,228.26968383789062,1.2039207567066101
56202,37747813,1163788,0.7044939568998947,False,2996539392.0,1.1081695556640625,72923318583296.0,2195.3125,75338.0859375,115080.140625,88032.7578125,75356.234375,115194.0859375,88060.359375,118.63703585666437,0.05404106971406775,107.05675431190852,0.0,-23.0970458984375,259.4029541015625,94.1029052734375,-209.0970458984375,114.1029052734375,152.9029541015625,243.23969645525665,211.94717407226562,1.147643027183375
56702,38082507,127454,0.6275766955159647,True,28852674560.0,1.9073486328125,2206390026240.0,700.1953125,76083.921875,157470.859375,115466.1015625,76120.1796875,157364.59375,115482.46875,113.46760264756605,0.16205135998759782,59.48970245688711,0.0,-482.81842041015625,-106.5184326171875,230.08154296875,-482.81842041015625,-106.5184326171875,230.08154296875,0.0,83.98011779785156,0.0
57647,37372039,547265,0.6033446959629175,False,6227336192.0,1.186370849609375,278579866763264.0,2445.3125,79046.546875,68111.0546875,72949.4921875,77947.6484375,68707.015625,72903.2421875,1250.9541468278605,0.5115723028561219,1054.437697318465,0.0,-123.6156005859375,241.984375,55.684326171875,226.61328125,32.51318359375,155.813232421875,420.19548732468104,341.5555114746094,1.230240687701266
58257,39260804,586019,0.6714912439164086,False,10678221824.0,1.3408660888671875,66926332084224.0,1849.609375,78787.5234375,134772.34375,72948.4765625,78463.15625,134882.71875,72999.375,346.3919223821502,0.18727842054874436,258.3344640140722,0.0,91.1124267578125,-151.987548828125,-83.28759765625,-54.987548828125,-50.08758544921875,230.012451171875,360.39662317860234,280.1650390625,1.286372576623324
59071,39760179,129308,0.6189566768837892,False,38691475456.0,3.093719482421875,63887860826112.0,1875.0,80583.40625,196946.796875,52487.62890625,80569.3203125,196943.234375,52585.60546875,99.0480279501834,0.052825614906764476,32.01583999873351,0.0,-81.51202392578125,-30.31201171875,201.988037109375,-214.81201171875,180.488037109375,90.5880126953125,273.15840234376685,208.6919403076172,1.308907291489669
60367,40758960,40638,0.6469504784134035,True,130715492352.0,6.3934326171875,11014459359232.0,1019.53125,82984.078125,152594.71875,29236.95703125,83055.8359375,152612.9375,29326.77734375,116.39929142372523,0.1141694199405121,18.206071510131878,0.0,165.15753173828125,-204.74246215820312,-113.6424560546875,165.15753173828125,-204.74246215820312,-113.6424560546875,0.0,141.0773162841797,0.0
61890,41896615,2224712,0.6387213563394316,False,5836907520.0,1.02996826171875,81479010877440.0,2210.9375,85444.7265625,110145.6015625,163046.140625,85549.4375,110384.078125,162936.28125,282.67389969598526,0.12785250586956223,274.4491361552013,0.0,541.686279296875,638.0863037109375,-600.4136962890625,168.486328125,372.3863525390625,-461.61370849609375,478.68580950217745,207.551513671875,2.306346993252709
62306,42186845,126915,0.6322243090380213,True,55753203712.0,4.0740966796875,4477747724288.0,742.1875,86004.140625,148618.46875,63658.20703125,85964.484375,148646.75,63660.51953125,48.762638586063,0.06570123935806382,11.968944877813575,0.0,330.11962890625,-58.580352783203125,131.21966552734375,330.11962890625,-58.580352783203125,131.21966552734375,0.0,98.04085540771484,0.0
62674,42436999,4323,0.6001028217200032,False,31390459904.0,2.986907958984375,21549159546880.0,1810.546875,84436.8828125,181918.28125,148002.375,84346.765625,182070.15625,147961.921875,181.1727861191514,0.10006522814779452,60.65563070807002,0.0,-372.4808044433594,191.419189453125,21.21917724609375,-270.78082275390625,7.71917724609375,-60.4808349609375,225.3075070989149,118.39134216308594,1.9030741858517852
62897,42592181,27954,0.6320348375243361,False,1447026048.0,0.8144378662109375,16311795056640.0,1091.796875,89704.671875,2142.667236328125,89151.1015625,89682.25,2136.746337890625,89132.6796875,29.616937642815806,0.027126783672847394,36.364882910718066,0.0,-37.00830078125,272.19171142578125,188.39166259765625,-77.30828857421875,130.29168701171875,-41.80828857421875,273.4076141301822,201.0992889404297,1.3595652951869557
63374,42887527,250132,0.6367544063618816,False,47241859072.0,3.314971923828125,150004534607872.0,2636.71875,89732.515625,28052.6953125,85483.515625,89741.0546875,28115.47265625,85777.875,301.10023601298485,0.11419505247307277,90.83040307179274,0.0,-215.5447998046875,-116.8447265625,-455.5447998046875,-90.4132080078125,-263.8131103515625,-185.4132080078125,332.0070752045842,180.4254150390625,1.840134745610556
64521,43736233,38569,0.601280521128829,False,30726731776.0,6.75201416015625,46856428060672.0,2015.625,90383.1875,148427.5,64673.02734375,90431.328125,148303.078125,64639.25,137.61988121166183,0.06827653021353765,20.38204866686434,0.0,-381.60443115234375,308.49554443359375,52.695556640625,-172.10443115234375,-75.70440673828125,38.195556640625,437.8471222704006,181.52622985839844,2.412032258985096
64838,43968228,42536,0.6195340219782417,True,13762608128.0,1.811981201171875,1058217656320.0,405.76171875,89394.3203125,185204.28125,51491.40234375,89391.21875,185207.78125,51490.9921875,4.694456101703403,0.011569489887230527,2.5907863164735514,0.0,-172.50955200195312,-21.509552001953125,188.29043579101562,-172.50955200195312,-21.509552001953125,188.29043579101562,0.0,75.68436431884766,0.0
65367,44337607,110495,0.6881217156872337,True,24245616640.0,4.35638427734375,3328325713920.0,510.7421875,91388.2578125,36278.7109375,87803.1015625,91387.0703125,36274.9921875,87813.3203125,10.93901775183677,0.02141788561736301,2.5110314094023627,0.0,-80.42510986328125,-425.1251220703125,71.17486572265625,-80.42510986328125,-425.1251220703125,71.17486572265625,0.0,99.03536224365234,0.0
65402,44369861,645160,0.6361371555496546,True,47085690880.0,3.18145751953125,3768104517632.0,621.09375,92853.1484375,40318.76171875,148392.8125,92847.6328125,40322.61328125,148400.515625,10.227159312226258,0.01646636971025108,3.214614449333621,0.0,-259.2548522949219,-184.65484619140625,-35.15484619140625,-259.2548522949219,-184.65484619140625,-35.15484619140625,0.0,92.6738510131836,0.0
65664,46091846,226,0.6651580821335206,False,11615250432.0,2.00653076171875,832861066231808.0,4671.875,93130.6875,61182.08984375,33313.29296875,94179.6640625,60995.765625,33575.33984375,1097.1495376038674,0.23484137259748333,546.7892935087989,0.0,247.9219970703125,-166.078125,1517.1219482421875,97.9080810546875,-8.4920654296875,167.6080322265625,1366.9401415896266,343.9976501464844,3.9736903464530733
65685,46091846,308423,0.6387986712863496,False,33772072960.0,1.2683868408203125,832861066231808.0,4671.875,92728.2578125,61498.80859375,33016.8046875,94179.6640625,60995.765625,33575.33984375,1634.501101778487,0.3498597676047598,1288.6455844349464,0.0,-193.778076171875,-1028.6781005859375,-666.3780517578125,97.9080810546875,-8.4920654296875,167.6080322265625,1349.5899928959984,343.9976501464844,3.9232535231601235
65831,46091846,48750,0.6918444995272178,False,29516402688.0,1.8863677978515625,832861066231808.0,4671.875,93298.0703125,62714.07421875,36908.41796875,94179.6640625,60995.765625,33575.33984375,3852.1684478677307,0.8245444169348989,2042.108888974395,0.0,-216.2320556640625,-124.0321044921875,-471.83203125,97.9080810546875,-8.4920654296875,167.6080322265625,721.7458838837595,343.9976501464844,2.0981128318069
66067,44776315,34442,0.6209260924046233,False,27642345472.0,2.208709716796875,146166478012416.0,2363.28125,93247.7734375,78320.7890625,40899.33203125,93240.5078125,78650.140625,40986.578125,340.78896974882537,0.14420161364578396,154.29323607225575,0.0,445.019775390625,-560.2802124023438,425.7198486328125,306.1197509765625,-194.3802490234375,584.1197509765625,422.21621125369126,299.4410095214844,1.4100146533983615
66413,45007523,271684,0.6642799875957334,True,19521429504.0,1.735687255859375,835829563392.0,350.09765625,93001.9765625,113761.5234375,137800.328125,93003.5234375,113759.0546875,137797.8125,3.849145095829722,0.01099448975768378,2.217648993409201,0.0,-62.2989501953125,391.0009765625,-608.3989868164062,-62.2989501953125,391.0009765625,-608.3989868164062,0.0,76.82633972167969,0.0
67237,44056421,1236391,0.6916900201316806,False,1854535808.0,0.7648468017578125,175591668056064.0,3242.1875,91668.734375,193459.796875,80024.15625,90792.828125,193599.703125,80258.2734375,917.3856196066271,0.28295267303529703,1199.4370866142626,0.0,-1220.9954833984375,348.7044677734375,479.7044677734375,277.4249267578125,359.02490234375,9.4249267578125,1570.5200042152953,195.77415466308594,8.02210080752515
67239,44056421,1237182,0.6508080914560083,False,1969224192.0,0.5712509155273438,175591668056064.0,3242.1875,91595.453125,193446.296875,80041.2265625,90792.828125,193599.703125,80258.2734375,845.4878556853008,0.2607769771752253,1480.0638960986144,0.0,-682.2955322265625,675.7044677734375,301.5045166015625,277.4249267578125,359.02490234375,9.4249267578125,1051.978989028397,195.77415466308594,5.373431395164401
67439,45691261,243904,0.6090002615393302,True,27603302400.0,4.84466552734375,2043971764224.0,457.51953125,94088.1015625,8644.896484375,125223.3046875,94062.5,8624.2490234375,125219.28125,33.135263616325744,0.0724237138593758,6.839535862549682,0.0,-212.41738891601562,-251.8173828125,53.48260498046875,-212.41738891601562,-251.8173828125,53.48260498046875,0.0,62.35531234741211,0.0
