matched_index,host_halo_index,track_id,DoR,is_central_flag,gal_stellar_mass,gal_r50_kpc,host_mass,host_radius_kpc,gal_center_x,gal_center_y,gal_center_z,host_center_x,host_center_y,host_center_z,dist_to_host_kpc,dist_over_hostR,dist_over_galR50
6340,4778400,1930598,0.7659649151582323,False,1405542912.0,0.4596710205078125,228684963250176.0,3527.34375,9812.9267578125,167993.34375,187147.25,9966.7412109375,167953.078125,187212.265625,171.77670983263147,0.04869860212309375,373.69488649265844
6346,4778400,1977002,0.6153248005596197,False,13899257856.0,1.7452239990234375,228684963250176.0,3527.34375,9929.0185546875,167989.03125,187129.359375,9966.7412109375,167953.078125,187212.265625,97.92380854972804,0.027761345502469965,56.10959315510362
6351,4778400,3028815,0.6531510103884934,False,42712887296.0,1.5926361083984375,228684963250176.0,3527.34375,9942.2060546875,167848.84375,187003.359375,9966.7412109375,167953.078125,187212.265625,234.75221002775467,0.06655212155825603,147.3985229832712
6376,4778400,97114,0.6621051872474024,False,36856459264.0,2.353668212890625,228684963250176.0,3527.34375,9954.3115234375,167947.859375,187521.90625,9966.7412109375,167953.078125,187212.265625,309.9339431770918,0.08786610127722647,131.68123760164596
6628,4902450,1041141,0.6288302619508289,False,42088202240.0,4.34112548828125,101229074055168.0,2164.0625,11855.8935546875,179900.765625,179937.234375,11784.09375,179983.6875,179950.0,110.42739917393418,0.05102782344499485,25.437504507075396
6910,5088026,9659,0.6204142004366383,False,13411222528.0,1.491546630859375,55252204126208.0,1605.46875,9836.13671875,198777.140625,133549.5,9848.701171875,198615.953125,133318.125,282.265240976604,0.1758148459610964,189.2433230960892
6953,5102703,496129,0.6820498448598892,True,11634771968.0,1.461029052734375,983255416832.0,417.48046875,13884.4765625,2940.3857421875,14024.529296875,13887.7373046875,2944.469970703125,14042.2119140625,18.4387719976374,0.0441667895335221,12.620400643730179
7187,5252239,77613,0.616261287245523,True,15051022336.0,1.4286041259765625,1258117136384.0,697.265625,15094.462890625,15661.9609375,42075.6796875,15183.5576171875,15689.759765625,42031.41796875,103.29445722338656,0.14814219075174767,72.30446513849785
7350,5377098,12185,0.6501444509825213,True,34513887232.0,4.5166015625,4707631759360.0,782.2265625,14854.7763671875,28718.662109375,172070.359375,14847.9072265625,28730.62890625,172076.1875,14.978530014295801,0.019148582689936206,3.3163275101921945
7678,5665204,87007,0.6390490587279235,False,100262068224.0,9.5977783203125,65167220015104.0,2242.1875,13506.046875,81146.859375,17629.642578125,14252.3349609375,80035.7109375,17540.349609375,1341.4805222734833,0.5982909646376511,139.76990064819555
7905,5854109,16955,0.6093009881349091,False,36466032640.0,2.933502197265625,59649994784768.0,1962.890625,13967.576171875,116332.984375,116135.484375,13959.126953125,116345.1953125,116341.96875,207.0176161858089,0.10546569103197428,70.57012480807892
8407,6227203,23249,0.6910466717245218,False,22644858880.0,2.84576416015625,788083549143040.0,5640.625,13958.7861328125,170200.5625,183819.296875,13636.3583984375,170951.265625,183124.03125,1072.804322831336,0.190192456125223,376.9828638127316
8410,6227203,23328,0.6325683073057371,False,14797244416.0,1.59454345703125,788083549143040.0,5640.625,14028.546875,170308.671875,183768.828125,13636.3583984375,170951.265625,183124.03125,991.2121562497318,0.17572736288083887,621.6275585835639
8448,6227203,100221,0.7144579189526166,False,14562987008.0,1.3484954833984375,788083549143040.0,5640.625,13998.2353515625,170395.59375,183742.5,13636.3583984375,170951.265625,183124.03125,906.7688551089586,0.1607568053378763,672.4300275917478
8465,6227203,229037,0.627827642640436,False,39277117440.0,2.567291259765625,788083549143040.0,5640.625,13940.3388671875,171336.59375,183403.25,13636.3583984375,170951.265625,183124.03125,564.6636163673447,0.10010656910667608,219.94528833432574
8470,6227203,229539,0.6364485035977898,False,25924458496.0,2.140045166015625,788083549143040.0,5640.625,14122.0576171875,170710.578125,184176.546875,13636.3583984375,170951.265625,183124.03125,1183.9017461849403,0.20988839821561267,553.2134391299554
8473,6227203,230061,0.6299293725877742,False,20653672448.0,4.4403076171875,788083549143040.0,5640.625,13275.1943359375,170389.515625,183565.328125,13636.3583984375,170951.265625,183124.03125,800.4657859185922,0.14191083185260361,180.2725970651576
8499,6227203,492195,0.6102281962673806,False,6080925696.0,1.373291015625,788083549143040.0,5640.625,14082.5390625,170225.765625,183697.203125,13636.3583984375,170951.265625,183124.03125,1026.622342088009,0.18200506895743096,747.5635756786639
8608,6227203,3070295,0.6288626943285041,False,2266926080.0,1.0280609130859375,788083549143040.0,5640.625,14242.494140625,170161.25,183760.484375,13636.3583984375,170951.265625,183124.03125,1181.7773927536427,0.20951178154081201,1149.5207897811165
8626,6227203,4675449,0.6354062622942463,False,2757402112.0,0.9298324584960938,788083549143040.0,5640.625,13823.6611328125,170758.859375,183628.859375,13636.3583984375,170951.265625,183124.03125,571.7988414944804,0.10137153976633446,614.9482482245295
8628,6227203,4679778,0.6001942545673514,False,18311100416.0,1.79290771484375,788083549143040.0,5640.625,13488.375,170912.6875,183301.734375,13636.3583984375,170951.265625,183124.03125,234.44777366482523,0.04156414823974741,130.7639939991318
8684,6227203,2226,0.664697544972055,False,49194004480.0,1.575469970703125,788083549143040.0,5640.625,14758.2802734375,170226.65625,185361.953125,13636.3583984375,170951.265625,183124.03125,2606.1584292872376,0.4620336273528621,1654.2101580800813
9615,6882008,11518,0.6773868908797168,False,64733061120.0,6.85882568359375,80759377362944.0,3304.6875,17416.56640625,40276.76171875,95797.125,18973.642578125,40505.61328125,96107.3125,1604.0808981581465,0.48539563821333986,233.87106950320864
9738,6955316,435755,0.653036736824823,False,10248751104.0,1.1444091796875,183587655647232.0,3199.21875,18426.15234375,46441.2734375,175479.046875,18482.3515625,46447.1953125,175481.71875,56.57348944197805,0.01768353271934845,49.434669387592976
9740,6955316,436157,0.632480981104096,False,26783401984.0,2.7923583984375,183587655647232.0,3199.21875,18478.0859375,46463.28125,175442.796875,18482.3515625,46447.1953125,175481.71875,42.33042989871655,0.013231489687510912,15.159382807881356
