track_id,logM,logR,compactness,MgFe,lum_age_gyr,log_ssfr,DoR
12671,11.298089,1.2327381,9.448982,0.18241456,9.450571,-12.08514570065299,0.4473667429659216
254065,9.037729,0.2239246,8.701842,0.24806166,10.316499,,0.1402548928334505
364183,9.573813,0.3710408,9.017252,0.086614914,4.098233,-10.731258984360707,0.2810457947587139
3831,10.365329,0.56508636,9.517699,0.26758522,11.958779,,0.4329240642894909
313288,9.646059,0.5093435,8.882044,0.13052705,4.232601,-11.428051204151508,0.1569699109828219
472461,9.492591,0.49368218,8.752068,0.12909243,1.5265732,-9.969793187751906,34.01679034033033
1415,10.572908,0.451864,9.895112,0.22501734,10.167202,-12.542955475221337,0.3951193758495984
1812655,9.504029,0.43454963,8.852205,0.111053385,2.3551776,-9.801825033702759,0.4492170629631438
1825444,10.032452,0.38696095,9.45201,0.09770521,7.203634,,0.1528146952829731
4261,10.755895,0.6838938,9.730054,0.100723885,2.5865898,-9.851224583128658,0.2840159276856284
62741,9.508654,0.10779936,9.346954,0.057285257,1.9968622,-9.457519863502041,0.2864479689602385
332513,9.437415,0.42093813,8.806008,0.12468069,1.9893974,-10.108540659223866,0.2642195723929472
154891,10.2500305,0.6967377,9.204924,0.094057016,3.2994883,-9.955225363598561,0.3468861766158594
361283,11.026749,0.75870794,9.888687,0.24319151,10.7196045,,0.2322142637404296
242910,10.445241,0.55735123,9.609214,0.09756411,4.120628,-10.424210634305352,0.2480794411282997
15788,9.980708,0.5390674,9.172107,0.15499511,7.8381505,,0.6266001175874566
5398,10.567433,0.38831812,9.984956,0.31244472,12.033427,,0.1883143645973766
144741,10.317454,0.618089,9.390321,0.094847806,3.1203306,-10.0392770796585,0.1879889350327973
655330,10.203796,0.49685994,9.458507,0.104688086,2.3589103,-9.53605974714644,0.2551585786684567
1181,10.140546,0.48779514,9.408854,0.10112753,2.0341868,-9.670399713446674,0.2336854054063101
144765,10.919514,0.6838938,9.893673,0.14232436,6.158547,-12.032948553004825,0.2104548389751604
924956,10.065759,0.6678199,9.064029,0.10253476,2.6537738,-9.881869335437557,0.1086826294134158
1484,9.390451,0.25906706,9.001851,0.094393514,3.4151943,-9.830211499237842,0.2454534866811349
28276,9.84074,0.6940651,8.799643,0.100961484,2.1984146,-9.568448687645809,0.2128097610072933
65982,9.365146,0.38559952,8.786746,0.08894657,3.7735097,-9.88653621209616,0.1925096704177272
1365463,10.993631,0.5485398,10.170822,0.20880282,9.495359,,0.3210574370777725
4716,10.6877575,0.48779514,9.956065,0.19306108,10.465797,,0.2706372690625785
239994,10.606902,0.2873238,10.175917,0.25099108,11.1077795,,0.1874100375434312
33969,9.266518,0.7300628,8.171423,0.26957056,11.152568,,0.100405403170088
160247,9.951378,0.45883143,9.263131,0.08184359,4.590917,-10.410650831308313,0.2469692309230563
5612,10.466024,0.53182495,9.668287,0.25920287,11.540744,,0.6404205273018974
537268,9.416805,0.4807333,8.695705,0.11759093,8.345764,,0.448795869292843
71063,11.296036,0.85237175,10.017478,0.16566607,9.286343,-12.114330971899252,0.1439343727234143
27360,11.498524,1.0608914,9.9071865,0.18236789,9.525219,-12.546492553211511,0.3586160010411515
144985,10.262252,0.4387926,9.604063,0.10469817,7.8232207,,0.2301456322638881
24620,9.890395,0.38148946,9.318161,0.0747898,3.7959044,-10.146247532518306,0.1856719699976402
144209,10.468914,0.5797194,9.599335,0.097259484,3.2435014,-9.914977586511796,0.2204313081655748
475067,10.164994,0.61488384,9.242668,0.09884413,2.959835,-9.933029617934128,0.0853125608766611
153016,9.6770115,0.5541257,8.845823,0.12542066,1.5433692,-9.557173532371955,0.2514252258938768
226646,9.174173,0.29495063,8.731748,0.07734827,4.8447237,-10.265669668668657,0.2110715836527737
704250,10.204856,0.2512417,9.827993,0.19965783,9.853676,-12.807099659076357,0.3377066587219942
365289,10.119172,0.6987314,9.071075,0.10102893,3.4487865,-9.849256617788486,0.300825328861131
72656,10.240877,0.45069182,9.564839,0.072069,5.2627583,-10.282849543886242,0.2233842272325295
321908,10.206966,0.7592851,9.068039,0.10936765,3.601817,-10.04238219924243,0.3385691587234989
764883,10.80052,0.6466662,9.830521,0.086133204,5.5688195,-10.525865260863819,0.2902182435497342
14722,10.422132,0.5031466,9.667412,0.20704803,10.450868,,0.2382856041646393
1139,11.571636,1.1025982,9.917739,0.22660011,7.3753266,-10.387456976674514,0.1654442841404753
444,10.480284,0.50780255,9.71858,0.27118555,10.973412,-12.236810692516682,0.1992519646627446
334095,9.603852,0.5308501,8.807577,0.10553592,5.2776885,-10.466790950810937,0.217729568220036
1318206,9.934951,0.56508636,9.087321,0.111940466,3.6727335,-10.043463002783078,0.1375457909851937
11876,10.48308,0.59260744,9.594169,0.1469036,8.047168,,0.2389755723495001
107,10.752311,0.47020108,10.047009,0.18465954,10.27171,-12.7738144109946,0.6251389492466966
33099,9.537257,0.3957077,8.943696,0.13463753,2.0939062,-9.480247498841774,0.2000411794079114
12930,9.998933,0.58792615,9.1170435,0.091758884,2.9896948,-10.020618884114615,0.4486798975142284
537394,9.283948,0.5775338,8.417647,0.12034536,3.0232868,-10.222343263169124,0.1200821222777546
321039,10.3949995,0.5582684,9.557597,0.10591949,1.855029,-9.563583345784783,0.2890452356327911
214747,9.792255,0.42219332,9.158965,0.10889322,2.4671514,-9.915982671046253,0.0706829354495532
92742,10.350454,0.562372,9.506896,0.108065225,3.403997,-10.055086694931726,0.2275770624751174
1716312,9.732207,0.47798634,9.015228,0.10284246,4.016119,-10.23247419492357,0.2865595714180896
100531,10.846332,0.43576613,10.192682,0.107737474,9.420711,,0.3158364508406278
150450,9.999783,0.37244856,9.44111,0.08035033,5.8375564,-10.648728887468808,0.2305222753254891
335064,9.852805,0.34787294,9.330996,0.12588874,7.8978696,,0.3000511201475191
149606,9.004422,0.7569719,7.868964,0.11309407,2.7321553,-9.69414462030884,0.518144572092215
155287,9.929501,0.5559718,9.095543,0.09410473,2.9896948,-9.990195298582101,0.3088070042067539
160652,9.860471,0.259523,9.471187,0.36306146,12.451462,,0.0897734815576787
507774,9.917878,0.32575306,9.429249,0.07460504,5.3971267,-10.419903200872199,0.3326147666664812
344877,9.922463,0.27254158,9.513651,0.13369516,10.391149,,0.1624321131317637
248613,9.536641,0.6391262,8.577951,0.15149313,1.7654501,-9.601179597700986,0.3403376226606847
38283,9.75886,0.5103678,8.993308,0.093411334,3.9787948,-9.878915139513763,0.11092874042765
143,10.624967,0.6275649,9.6836195,0.0907693,3.3405452,-10.222581718479812,0.2441807190526876
25289,10.823521,0.44774744,10.151899,0.09836768,8.7638,,0.2737871982421091
59701,10.5462675,0.5093435,9.782252,0.19580099,11.09285,,0.2442360581780703
9598,9.570976,0.5149474,8.798555,0.10492747,2.7358878,-9.975563636638105,0.2285650435742131
1349575,9.374641,0.5249546,8.58721,0.13884044,2.2655988,-9.63350271850918,0.2586963865846166
354538,10.57607,0.340372,10.065512,0.17875361,8.390553,-13.414258538440208,0.0999273219309596
239929,9.14177,0.5409785,8.330302,0.11640545,5.4120564,,0.151907738939778
250005,9.872006,0.5673355,9.021003,0.09064292,2.9934273,-9.889630993187618,0.17058268844085
1144,10.550584,0.90450585,9.193825,0.21131837,10.853973,,0.124486933033963
60543,9.08899,0.45594192,8.405077,0.11775402,2.1013708,-9.81110577925847,0.3315461459565825
329041,9.801057,0.5866406,8.921096,0.21676406,9.181834,,0.1390757992834073
4041,10.332694,0.2418512,9.969917,0.29418638,11.854269,-12.04684045563889,0.2427965690045709
64040,10.606902,0.45361638,9.926477,0.089161076,3.7959044,-10.155174216629902,0.3127094315143607
166815,9.507996,0.4203092,8.877532,0.12592244,2.019257,-9.47344239744745,0.2515514128662194
37833,10.312529,0.5313378,9.515522,0.1915816,11.286938,,0.4401845404132655
168222,9.273912,0.62047744,8.343196,0.17456508,1.5284394,-9.594883362661077,0.0772713011165029
74342,10.530063,0.48182723,9.807322,0.24096268,9.779026,-12.212216229668543,0.3259781466569095
180533,10.611074,0.5892079,9.7272625,0.09377193,4.434154,-10.157781182339892,0.2484013766478928
920514,9.049707,0.42593727,8.410802,0.11105829,3.034484,-9.6949635234781,0.1446372276168203
79636,10.397722,0.5722428,9.539358,0.09133125,3.6578038,-10.240797945324896,0.2084549603658687
433,11.256559,0.94993293,9.83166,0.27304342,11.615393,,0.406263143583529
