halo_idx,track_id,logM,logR,compactness,DoR_matched,DoR_matched_flag
559004,559004,10.009014,0.6116549,9.091532,,0
559107,559107,9.444326,0.5062561,8.684942,,0
787633,787633,9.969485,0.55735123,9.133458,,0
787806,787806,9.295907,0.58276105,8.421765,,0
789340,789340,10.415017,0.35597706,9.881052,,0
789376,789376,9.787442,0.44179812,9.124745,,0
789470,789470,10.635298,0.638365,9.677751,,0
789767,789767,10.417618,0.3617774,9.874951,,0
1096977,1096977,9.066395,0.6360732,8.112285,,0
1097096,1097096,10.080797,0.5993278,9.181806,,0
1097100,1097100,9.02391,0.4405984,8.363012,,0
1099524,1099524,10.026909,0.60182136,9.124177,,0
1505777,1505777,9.560025,0.44359148,8.894638,,0
1506439,1506439,9.532308,0.642158,8.569071,,0
1506597,1506597,10.233017,0.5361849,9.42874,,0
1511688,1511688,9.144058,0.61327237,8.22415,,0
2034661,2034661,9.338759,0.68594724,8.309838,,0
2505100,2505100,9.507338,0.41268978,8.888303,,0
2506219,2506219,9.075842,1.0115352,7.5585394,,0
2506225,2506225,10.916236,0.6503877,9.940655,,0
2506290,2506290,10.413056,0.5587263,9.574966,,0
2916321,2916321,10.18759,0.48833364,9.45509,,0
2920726,2920726,10.174741,0.46851447,9.471969,,0
3363940,3363940,9.022403,0.641402,8.0603,,0
3364876,3364876,9.887659,0.34112793,9.375967,,0
3861419,3861419,9.567548,0.4668213,8.867316,,0
3861664,3861664,10.146637,0.52047986,9.365917,,0
5663162,5663162,9.947089,0.52097934,9.16562,,0
5665258,5665258,9.875973,0.6267831,8.935799,,0
7164160,7164160,9.995521,0.65186745,9.017719,,0
7998986,7998986,9.13947,0.5385883,8.331588,,0
8001881,8001881,9.152345,0.605124,8.244658,,0
388704,388704,10.546749,0.5371479,9.741027,,0
390451,390451,9.598542,0.40947515,8.984329,,0
390517,390517,10.12046,0.3660774,9.571343,,0
558374,558374,9.195633,0.42469287,8.558594,,0
793731,793731,10.7541065,0.5934532,9.863927,,0
793998,793998,9.168459,0.30491576,8.711085,,0
1511627,1511627,9.20959,0.43394008,8.55868,,0
2042212,2042212,9.017341,0.41524446,8.394474,,0
9224389,9224389,9.688018,0.5052221,8.930184,,0
793684,793684,9.020385,0.46341506,8.325262,,0
392208,392208,10.286586,0.3380962,9.779442,,0
1108249,1108249,9.20959,0.53473645,8.407485,,0
