HaloCatalogueIndex,DoR,logM,logR,compactness,exsitu_frac
99036,0.6661844889650163,9.788133,0.02861811,9.745206,0.30407564738125453
997271,0.7158060094729007,9.825807,0.19424395,9.534441,0.05256666351516868
1949005,0.6827678046846778,9.148598,-0.07463921,9.260556,0.0
8334619,0.6019892364773224,10.144211,0.64291257,9.179842,0.12372079856066001
4253,0.6215317279475285,10.566515,0.494744,9.824399,0.18672807926906643
19217,0.6954969942631268,10.240877,0.2991306,9.792181,0.0030619670473951244
127129,0.656771434015632,10.189786,0.27650374,9.77503,0.0031035409666711447
586754,0.662269889249979,9.303876,0.24891305,8.930507,0.0025879002500524984
38928,0.7001674284509436,9.559441,-0.00023863064,9.559798,0.17243817679094034
41035,0.7115193264449186,9.601206,-0.0077626887,9.61285,0.0002630802848906416
216550,0.6588044417999849,10.406456,0.20159614,10.104062,0.01198874284875478
278070,0.6284698774399505,9.566399,0.12738541,9.37532,0.0016452922692692365
284458,0.7116675477635107,10.357211,0.21844919,10.029537,0.0033776502975812295
600989,0.6187741132299455,10.720587,0.5259428,9.931673,0.5219592029084273
2297558,0.6516478433298971,9.607531,0.0038857544,9.601702,0.00182944472067996
1950115,0.6103629922430767,10.860587,0.487256,10.1297035,0.37817940419057805
1447,0.6301166461410381,10.891267,0.78121525,9.719444,0.5754809010402508
1441,0.6487456899557719,10.385333,0.55366296,9.554838,0.24399557640190672
590734,0.6033133299434295,10.479722,0.38628078,9.900301,0.06750009463028034
304,0.6521650115556714,10.970303,0.7621593,9.827064,0.590490519874479
602429,0.6932706303643063,10.622547,0.4790872,9.903916,0.41837584936893446
41178,0.6081134177336593,10.401775,0.34861597,9.878851,0.12223759444442134
41356,0.6635748267856949,10.187038,0.14966181,9.962545,0.005194706561288797
1219113,0.6894189806994522,10.15324,0.17695631,9.887806,0.020448425243126806
2348093,0.6708237911462418,10.481404,0.28345957,10.056215,0.3746448573902117
619839,0.6177997823622543,10.305872,0.44119868,9.6440735,0.48874907454342387
1251236,0.6691705108789057,9.151598,0.10259816,8.997701,0.0014637479841349739
129078,0.6375284806671631,10.516854,0.40688622,9.906525,0.08248711177067111
27683,0.6106240165324701,10.044095,0.16748446,9.792869,0.003231398709563326
241428,0.6526867870672473,10.048667,0.2327381,9.69956,0.00396693811016964
2054342,0.6609140305674132,9.010154,0.4308795,8.363834,0.11554889593617884
537268,0.6380915598157948,10.411086,0.14494117,10.193674,0.04893415234661104
31289,0.6558750792425047,9.641728,0.14375295,9.426099,0.002412744038324672
31425,0.7121448930056647,10.008183,0.21035966,9.692643,0.031653554290224144
252431,0.6610079472497637,10.448875,0.39437345,9.857315,0.04826374291721307
276701,0.6864561573361443,9.2996435,-0.19452512,9.591432,0.0
587227,0.6168696639388952,10.556273,0.49315026,9.816548,0.262318767714953
2299855,0.6596370304335647,10.336617,0.13956837,10.127265,0.006122598234074229
39339,0.6533108203535366,10.643851,0.2586106,10.255936,0.38301282433978884
124006,0.708006934464982,10.156799,0.31224236,9.688436,0.004624175871383845
278766,0.6437918164152011,9.653183,0.101943605,9.500268,0.006068106298628289
3843,0.6912472697372388,10.471211,0.46398464,9.775234,0.26201104888333404
43678,0.6210874896163027,10.2659445,0.3098139,9.801224,0.004769766441317656
616954,0.6753818949989485,9.698328,0.2886043,9.265422,0.004401634062737419
109773,0.6681797863413991,10.266403,0.4296492,9.621929,0.1181049206578244
3912,0.6421554960680002,9.417617,0.22786382,9.075821,0.03244905565830276
39462,0.6747854291495544,10.706154,0.7452176,9.588327,0.30153958981663237
2342292,0.636423827633617,10.410428,0.6886701,9.377423,0.16259146579135433
3471263,0.6077150067294418,10.38603,0.27032465,9.980543,0.15718637266979157
30183,0.6255150526210883,10.209067,0.5067722,9.448909,0.10732245529043424
249079,0.641643288767492,9.75886,0.5485398,8.93605,0.07577277514404257
2787,0.6595594646967534,9.123818,0.16009928,8.88367,0.6293117257086746
29113,0.6004966686491379,10.897753,0.76501465,9.750231,0.5327561250232662
29125,0.6857704775717242,10.600993,0.3218228,10.118259,0.23372983126068578
245320,0.6455451186602607,9.182607,-0.22680955,9.522821,0.0
245505,0.6102369265141454,11.276387,0.86566514,9.97789,0.6480011016664744
1253127,0.6841291015986833,10.195228,0.55781007,9.358513,0.027981384487307217
2081964,0.6596498656054957,10.374015,0.39968598,9.774486,0.09821179420432834
1254911,0.6764094725843792,10.156799,0.2716562,9.749315,0.05359984305772058
44523,0.6064688200675034,10.974639,0.6459181,10.005762,0.8266702284130598
254368,0.60241394492698,9.252526,0.44774744,8.580905,0.005759922793494237
112514,0.6804460923564565,9.708814,-0.07414765,9.820035,0.0002115120941523818
112613,0.6605201242893689,9.481544,0.18837862,9.198976,0.005946341166665479
112637,0.6969642700465215,10.138085,0.1071526,9.977357,0.0017397247757618352
541846,0.6490138629232616,10.273687,0.18891512,9.9903145,0.007341762574786209
1095974,0.6429123488267003,10.839515,0.61728996,9.91358,0.5190117717755256
1125165,0.6180330776660589,10.638428,0.5026262,9.884488,0.18100156796921754
561091,0.6546967874871191,10.647685,0.340372,10.137127,0.01686046344377043
32775,0.6162988703853376,10.122382,0.8434363,8.857227,0.5200948375821657
114191,0.7236870894049207,9.919412,0.2622487,9.526038,0.0011252976600916178
258026,0.6757229738568599,10.466604,0.36892056,9.913223,0.01847298945572845
35091,0.6243112071871334,9.62396,0.03247853,9.575242,0.00100832513876233
1163788,0.7044939568998947,9.476621,0.044606216,9.409711,0.0003446410129769746
127454,0.6275766955159647,10.460187,0.2804301,10.039542,0.032991814904577206
