soap_index,sgn,track_id,compactness,mass,r50_kpc,MgFe,lum_age_gyr,log_ssfr,DoR_choice
31768,12178,12178,8.030509948730469,1248151424.0,5.13458251953125,0.17768181319939877,9.390851020812988,,0.286272977480783
31769,12231,12231,9.766340255737305,45211631616.0,3.91387939453125,0.22145513027988553,10.002973556518555,-11.142552619459906,0.1968577734932565
32231,1559,1559,9.957762718200684,90423263232.0,4.63104248046875,0.10890791937489969,7.987448692321777,-12.7273950946379,0.3227055251720159
33048,12671,12671,9.448982238769531,198650068992.0,17.08984375,0.18241452535532612,9.450571060180664,-12.08514570065299,0.4473667429659216
34031,254065,254065,8.701842308044434,1090759936.0,1.674652099609375,0.24806161177110506,10.316498756408691,,0.1402548928334505
34219,364183,364183,9.017251968383789,3748114432.0,2.349853515625,0.08661489744905809,4.098233222961426,-10.731258984360707,0.2810457947587139
34598,3831,3831,9.517699241638184,23191459840.0,3.673553466796875,0.2675851761770742,11.958779335021973,,0.4329240642894909
34989,313288,313288,8.882043838500977,4426484224.0,3.231048583984375,0.13052703892177137,4.232601165771484,-11.428051204151508,0.1569699109828219
35131,472461,472461,8.752067565917969,3108787712.0,3.116607666015625,0.1290924078110663,1.5265731811523438,-9.969793187751906,1.0
35528,1415,1415,9.895112037658691,37403058176.0,2.83050537109375,0.22501733604922255,10.16720199584961,-12.542955475221337,0.3951193758495984
35547,1812655,1812655,8.852205276489258,3191753728.0,2.719879150390625,0.11105336277728248,2.355177640914917,-9.801825033702759,0.4492170629631438
35630,1825444,1825444,9.452010154724121,10775829504.0,2.437591552734375,0.09770520226167642,7.203633785247803,,0.1528146952829731
35686,4261,4261,9.730053901672363,57002573824.0,4.82940673828125,0.10072388114988984,2.586589813232422,-9.851224583128658,0.2840159276856284
35957,62741,62741,9.346954345703125,3225916416.0,1.28173828125,0.05728526428752617,1.9968621730804443,-9.457519863502041,0.2864479689602385
35971,332513,332513,8.806008338928223,2737880576.0,2.635955810546875,0.12468067522912829,1.989397406578064,-10.108540659223866,0.2642195723929472
36112,154891,154891,9.204923629760742,17784023040.0,4.974365234375,0.09405700317234722,3.2994883060455322,-9.955225363598561,0.3468861766158594
36800,361283,361283,9.888687133789062,106352754688.0,5.7373046875,0.24319150083162713,10.7196044921875,,0.2322142637404296
37233,242910,242910,9.609213829040527,27876601856.0,3.60870361328125,0.09756410052562461,4.1206278800964355,-10.424210634305352,0.2480794411282997
37395,15788,15788,9.172106742858887,9565500416.0,3.459930419921875,0.15499508926384878,7.838150501251221,,0.6266001175874566
38274,5398,5398,9.984955787658691,36934545408.0,2.445220947265625,0.31244469755561777,12.033427238464355,,0.1883143645973766
38930,144741,144741,9.390320777893066,20770801664.0,4.150390625,0.09484779933525522,3.120330572128296,-10.0392770796585,0.1879889350327973
39233,655330,655330,9.45850658416748,15988050944.0,3.139495849609375,0.10468805923385247,2.358910322189331,-9.53605974714644,0.2551585786684567
39624,1181,1181,9.408853530883789,13821172736.0,3.07464599609375,0.10112751170914588,2.034186840057373,-9.670399713446674,0.2336854054063101
39663,144765,144765,9.893672943115234,83083206656.0,4.82940673828125,0.14232433532615404,6.1585469245910645,-12.032948553004825,0.2104548389751604
39667,924956,924956,9.0640287399292,11634771968.0,4.6539306640625,0.10253474201762444,2.653773784637451,-9.881869335437557,0.1086826294134158
39765,1484,1484,9.001851081848145,2457260032.0,1.8157958984375,0.09439348979320458,3.415194272994995,-9.830211499237842,0.2454534866811349
39782,28276,28276,8.799642562866211,6930107904.0,4.94384765625,0.10096146341109505,2.1984145641326904,-9.568448687645809,0.2128097610072933
40401,65982,65982,8.78674602508545,2318169856.0,2.429962158203125,0.08894657974126827,3.7735097408294678,-9.88653621209616,0.1925096704177272
40442,1365463,1365463,10.170822143554688,98544181248.0,3.536224365234375,0.20880281131887216,9.495359420776367,,0.3210574370777725
41347,4716,4716,9.95606517791748,48725487616.0,3.07464599609375,0.19306106599270587,10.465797424316406,,0.2706372690625785
41529,239994,239994,10.17591667175293,40448401408.0,1.9378662109375,0.2509910373039438,11.107779502868652,,0.1874100375434312
41692,33969,33969,8.171422958374023,1847215360.0,5.37109375,0.2695705283011517,11.152567863464355,,0.100405403170088
41869,160247,160247,9.263131141662598,8940815360.0,2.87628173828125,0.08184358794477253,4.590917110443115,-10.410650831308313,0.2469692309230563
42135,5612,5612,9.66828727722168,29243101184.0,3.4027099609375,0.2592028609870892,11.540743827819824,,0.6404205273018974
42244,537268,537268,8.69570541381836,2610991360.0,3.025054931640625,0.11759092647381497,8.34576416015625,,0.448795869292843
43394,71063,71063,10.017477989196777,197713035264.0,7.11822509765625,0.16566605468914938,9.28634262084961,-12.114330971899252,0.1439343727234143
44056,27360,27360,9.907186508178711,315153973248.0,11.505126953125,0.1823678556995655,9.525218963623047,-12.546492553211511,0.3586160010411515
44139,144985,144985,9.604063034057617,18291580928.0,2.74658203125,0.10469814269059549,7.823220729827881,,0.2301456322638881
44376,24620,24620,9.318161010742188,7769529344.0,2.407073974609375,0.07478980623305867,3.7959043979644775,-10.146247532518306,0.1856719699976402
44570,144209,144209,9.599334716796875,29438316544.0,3.7994384765625,0.09725947638090493,3.2435014247894287,-9.914977586511796,0.2204313081655748
45086,475067,475067,9.242668151855469,14621550592.0,4.119873046875,0.09884411512225139,2.9598350524902344,-9.933029617934128,0.0853125608766611
45122,153016,153016,8.845823287963867,4753468416.0,3.582000732421875,0.12542065356437634,1.543369174003601,-9.557173532371955,0.2514252258938768
45258,226646,226646,8.7317476272583,1493389440.0,1.972198486328125,0.07734826277518372,4.844723701477051,-10.265669668668657,0.2110715836527737
45629,704250,704250,9.827993392944336,16027094016.0,1.7833709716796875,0.19965781606463354,9.853675842285156,-12.807099659076357,0.3377066587219942
46336,365289,365289,9.071075439453125,13157443584.0,4.99725341796875,0.10102890567878292,3.448786497116089,-9.849256617788486,0.300825328861131
46939,72656,72656,9.564839363098145,17413115904.0,2.8228759765625,0.0720690050273598,5.262758255004883,-10.282849543886242,0.2233842272325295
47000,321908,321908,9.068038940429688,16105180160.0,5.74493408203125,0.10936762889479235,3.6018168926239014,-10.04238219924243,0.3385691587234989
47349,764883,764883,9.830520629882812,63171346432.0,4.43267822265625,0.08613319734982186,5.568819522857666,-10.525865260863819,0.2902182435497342
47455,14722,14722,9.667411804199219,26432016384.0,3.185272216796875,0.2070480293529807,10.450867652893066,,0.2382856041646393
