subhalo_id,DoR,logM,logR,compactness,MgFe,lum_age_gyr,log_ssfr,exsitu_frac
1488323,0.0553027474545755,10.26364,0.7092126,9.199821,0.11925877,2.2096121,-9.689727,
1493363,0.0752429960076924,9.745357,0.6156874,8.821825,0.09801381,2.4036994,-9.801611,
2845416,0.1346382489198934,9.939847,0.6026494,9.035873,0.077651806,4.5461273,-10.34939,
2850356,0.1638718236662675,9.334856,0.39703783,8.7393,0.0638568,5.8300915,-10.269657,
1501312,0.1933846684203401,9.414364,0.2932673,8.9744625,0.04639157,5.695723,-10.833808,
739125,0.1774757732220469,10.354221,0.4351583,9.701484,0.10663278,7.3827915,-13.343492,
4092031,0.0750735751669956,9.459304,0.6299019,8.514451,0.098767586,1.7878449,-9.410643,
16400609,0.0655449673100563,9.403619,0.8352825,8.150695,0.14018708,2.1722875,-9.675248,
741046,0.0733534598375687,9.957965,0.36321548,9.413141,0.089947246,2.5529976,-9.816778,
743155,0.1048673298896112,9.49531,0.38354936,8.919986,0.06867597,2.19095,-9.511206,
2832096,0.1125404446258344,10.520451,0.40428174,9.914028,0.08962675,4.4789433,-10.15902,
742794,0.1543669689804561,10.166152,0.31865272,9.688173,0.12242744,6.7557397,-13.530592,
5571970,0.0762587943823484,9.261324,0.6993939,8.212233,0.12724379,2.9896948,-9.704148,
755610,0.1144158473545352,9.118204,0.62127066,8.186298,0.11407436,4.3819,-9.981144,
4098279,0.2614029743044486,10.327142,0.36321548,9.782318,0.13826156,8.405483,-11.972551,
5618604,0.1306470552862311,9.709641,0.4003455,9.109123,0.06163197,4.934303,-10.452728,
4103144,0.1470655176502865,9.448874,0.3675013,8.897622,0.06636422,4.486408,-10.255913,
161430,0.2076054780147136,9.9740095,0.37174526,9.416391,0.104815416,6.277985,-10.52346,
355947,0.092977915181354,9.114963,0.4296492,8.470489,0.11041009,2.8403966,-9.711045,
1490458,0.0857334713795273,9.933965,0.5934532,9.043785,0.093654566,3.075541,-9.968669,
2840578,0.0434768735358035,9.286147,0.483463,8.560953,0.1794411,1.4164658,-9.497845,
40149968,0.0876169256658772,9.776234,0.541455,8.964051,0.09139443,4.045979,-10.1204605,
7457040,0.1298307293133156,10.143602,0.40493432,9.536201,0.08031554,6.6960206,-11.3406515,
9828124,0.0615231317944014,9.4871025,0.7806666,8.316103,0.13139409,2.5753925,-9.681541,
7476094,0.126387637496708,9.080269,0.43149337,8.433029,0.09345598,4.486408,-9.938683,
7425369,0.0600798424995664,10.131872,0.69070107,9.09582,0.11255317,2.2581341,-9.676243,
16402349,0.0684612445234352,9.292678,0.6196827,8.363153,0.11697259,3.206177,-9.893158,
4138186,0.0830528486695295,9.087259,0.47798634,8.370279,0.10698552,2.276796,-9.712173,
361008,0.0983216590426269,10.095333,0.6852638,9.067437,0.074092664,2.6313791,-9.8272085,
